confid,dist_name,params
11_hour_7,lognorm,"[0.8471056139581733, -0.0103522255250279, 0.35804899213248664]"
11_hour_8,powerlognorm,"[7.995228531303463, 1.5305140515145184, 0.007808654779892348, 3.6702242503976223]"
11_hour_9,powerlognorm,"[78.8012746070863, 2.152933837017729, -0.012533245268010397, 77.5404999801546]"
11_hour_10,lognorm,"[0.9005545064348668, -0.028909883373472417, 0.4384616131322752]"
11_hour_11,powerlognorm,"[1.2836039845537224, 1.001952340390344, -0.009652930486505104, 0.5144082690978418]"
11_hour_12,lognorm,"[0.9906051419822695, -0.007804759150650889, 0.3854082656919253]"
11_hour_13,powerlognorm,"[68.31317723310747, 2.7023269553309746, 0.03379541425737531, 194.09843700113322]"
11_hour_14,powerlognorm,"[24.375420753309978, 2.307666863849615, 0.02264318277018699, 30.912071662532888]"
11_hour_15,powerlognorm,"[41.464071006072736, 2.4415413101338945, 0.02165441780190352, 65.41165460614272]"
11_hour_16,beta,"[0.8533702174791746, 72.99607812290407, 0.039999999999999994, 57.33021843470874]"
11_hour_17,beta,"[0.9707684792749238, 130.7703150879278, 0.028999999999999995, 120.5731121956044]"
11_hour_18,lognorm,"[0.8708777413402979, -0.037121866623383445, 0.7206823838071935]"
11_hour_19,lognorm,"[0.8988337573248953, -0.01798532634219706, 0.7069247370231533]"
11_hour_20,lognorm,"[0.8780170811550049, -0.0026620268049954267, 0.6445388391847467]"
11_hour_21,lognorm,"[0.819728765630481, -0.03649342535083698, 0.6709032411005496]"
11_hour_22,lognorm,"[0.8186477327997423, -0.024367837965962487, 0.5724422882317686]"
11_hour_23,lognorm,"[0.9840701045853817, 0.02415893552255164, 0.3560758141598658]"
12_hour_0,lognorm,"[0.9124370823923209, -0.024508379961550215, 0.32294945000081243]"
12_hour_1,powerlognorm,"[0.5496871687042042, 0.5624264606466426, -0.05874570579319291, 0.21680548808041838]"
12_hour_2,powerlognorm,"[0.3266293187003926, 0.4298608565632651, -0.06607538724853987, 0.1676557608432594]"
12_hour_3,lognorm,"[0.70025700139972, -0.03888729135298556, 0.24972206526833068]"
12_hour_4,powerlognorm,"[0.3081325884913234, 0.4196271756087766, -0.062434191828066254, 0.15810952863704617]"
12_hour_5,powerlognorm,"[0.32397997761102837, 0.4335126284703821, -0.06582902202629314, 0.16721827919447085]"
12_hour_6,powerlognorm,"[0.3284491624771404, 0.4177216798311685, -0.0868285361586196, 0.21346644117652502]"
12_hour_7,powerlognorm,"[0.11485138315910041, 0.26152137131787745, -0.13796917633460043, 0.22819842272983112]"
12_hour_8,lognorm,"[0.7731752630259663, -0.059123826954070854, 0.5045155713632875]"
12_hour_9,lognorm,"[0.7868519650291425, -0.0770187090829085, 0.528810679930959]"
12_hour_10,lognorm,"[0.9123208370762566, -0.04308509961684541, 0.5002454793482749]"
12_hour_11,lognorm,"[0.921374796177377, -0.035150989341337424, 0.49057227892162547]"
12_hour_12,lognorm,"[0.9716756068365819, -0.023384240239162628, 0.4378441303105993]"
12_hour_13,powerlognorm,"[0.547751605105401, 0.8231453660580732, -0.028290832157700715, 0.26623702553116013]"
12_hour_14,lognorm,"[1.0180948417708926, -0.022701358820786985, 0.4293759264027118]"
